[exp1_alpha0.0_seed0] round=1 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=12 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=13 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=14 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=15 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=16 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=17 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=18 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=19 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed0] round=20 alpha=0.0 cids=[11551278175564718223, 11834358558875259677, 14787676004526398100, 17033066580346605122] num_examples=[199, 30, 85, 172] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=1 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=2 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=3 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=4 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=5 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=6 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=7 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=8 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=9 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=10 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=11 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=12 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=13 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=14 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=15 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=16 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=17 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=18 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=19 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed1] round=20 alpha=0.0 cids=[2805546962034029206, 4571824277451270186, 7248114963704339912, 7947707701151462926] num_examples=[85, 172, 199, 30] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=1 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=2 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=3 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=4 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=5 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=6 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=7 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=8 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=9 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=10 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=11 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=12 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=13 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=14 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=15 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=16 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=17 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=18 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=19 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed2] round=20 alpha=0.0 cids=[1573893501637002573, 6244366412805190030, 6346796674767137626, 8681653974671004495] num_examples=[85, 30, 172, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=1 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=2 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=3 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=4 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=5 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=6 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=7 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=8 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=9 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=10 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=11 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=12 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=13 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=14 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=15 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=16 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=17 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=18 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=19 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed3] round=20 alpha=0.0 cids=[2834032353979702378, 2837282539657909887, 9367343340225767027, 15615673231723965920] num_examples=[30, 199, 172, 85] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=1 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=2 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=3 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=4 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=5 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=6 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=7 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=8 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=9 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=10 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=11 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=12 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=13 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=14 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=15 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=16 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=17 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=18 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=19 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.0_seed4] round=20 alpha=0.0 cids=[1270636785980239129, 3413330171377207308, 8050049049999111477, 9307923320898974256] num_examples=[172, 30, 85, 199] normalized_weights=[0.25, 0.25, 0.25, 0.25]
[exp1_alpha0.5_seed0] round=1 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=2 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=3 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=4 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=5 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=6 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=7 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=8 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=9 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=10 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=11 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=12 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=13 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=14 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=15 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=16 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=17 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=18 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=19 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed0] round=20 alpha=0.5 cids=[1646430776734161448, 4709647580831027831, 5694568077590903839, 17028600470839297001] num_examples=[172, 30, 85, 199] normalized_weights=[0.312867, 0.130664, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=1 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=2 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
[exp1_alpha0.5_seed1] round=3 alpha=0.5 cids=[3162369964592766010, 5342941817998053816, 10554559873100012422, 13613085798380672666] num_examples=[30, 172, 85, 199] normalized_weights=[0.130664, 0.312867, 0.21994, 0.336529]
